nodes number,make tableau time,pivoting time,equation solving time,total time,pivoting steps
138,0.031232118606567383,50.91141080856323,0.0,50.9426429271698,452341
139,0.015592336654663086,53.662474632263184,0.0,53.67806696891785,462140
140,0.03125309944152832,54.79958748817444,0.0,54.83084058761597,472080
141,0.01559305191040039,56.87713360786438,0.0,56.89272665977478,482161
142,0.015606403350830078,58.4584596157074,0.0,58.47406601905823,492385
143,0.031224966049194336,61.35177540779114,0.0,61.38300037384033,502752
144,0.031232833862304688,62.64979314804077,0.0,62.681025981903076,513264
145,0.031232833862304688,65.14416718482971,0.0,65.17540001869202,523921
146,0.03125429153442383,67.00298285484314,0.0,67.03423714637756,534725
147,0.03125262260437012,69.33908939361572,0.0,69.37034201622009,545676
148,0.031220197677612305,71.11557602882385,0.0,71.14679622650146,556776
149,0.03125262260437012,73.90996742248535,0.0,73.94122004508972,568025
150,0.031219959259033203,76.14975905418396,0.0,76.180979013443,579425
151,0.04689979553222656,79.28318929672241,0.0,79.33008909225464,590976
152,0.031247377395629883,81.41410541534424,0.0,81.44535279273987,602680
153,0.031220197677612305,84.69006729125977,0.0,84.72128748893738,614537
154,0.031213998794555664,86.65110850334167,0.0,86.68232250213623,626549
155,0.03122115135192871,89.18275332450867,0.0,89.2139744758606,638716
156,0.031219482421875,92.477783203125,0.0,92.50900268554688,651040
157,0.03122091293334961,95.1095917224884,0.0,95.14081263542175,663521
158,0.031222105026245117,97.02499961853027,0.0,97.05622172355652,676161
159,0.04685831069946289,100.88217353820801,0.0,100.92903184890747,688960
160,0.046846628189086914,104.27018618583679,0.0,104.31703281402588,701920
161,0.046846866607666016,107.30827808380127,0.0,107.35512495040894,715041
162,0.03122115135192871,110.55220580101013,0.0,110.58342695236206,728325
163,0.046877145767211914,114.62367272377014,0.0,114.67054986953735,741772
164,0.04841303825378418,116.59223675727844,0.0,116.64064979553223,755384
165,0.04688382148742676,120.26736736297607,0.0,120.3142511844635,769161
166,0.04684734344482422,123.05747866630554,0.0,123.10432600975037,783105
167,0.046845436096191406,128.16075134277344,0.0,128.20759677886963,797216
168,0.04684710502624512,131.20159077644348,0.0,131.24843788146973,811496
169,0.04688119888305664,135.05212807655334,0.0,135.0990092754364,825945
170,0.04688310623168945,138.42640805244446,0.0,138.47329115867615,840565
171,0.04684638977050781,152.5411021709442,0.0,152.58794856071472,855356
172,0.046878814697265625,161.99604964256287,0.0,162.04292845726013,870320
173,0.046846866607666016,150.93662285804749,0.0,150.98346972465515,885457
174,0.04684638977050781,155.30945658683777,0.0,155.35630297660828,900769
175,0.06248736381530762,161.14736533164978,0.0,161.2098526954651,916256
176,0.062479496002197266,163.51069045066833,0.0,163.57316994667053,931920
177,0.04687857627868652,168.7365837097168,0.0,168.78346228599548,947761
178,0.06248641014099121,173.51450872421265,0.0,173.57699513435364,963781
179,0.046881675720214844,178.4471035003662,0.0,178.49398517608643,979980
180,0.04684758186340332,182.53891348838806,0.0,182.58576107025146,996360
181,0.06247305870056152,188.84852075576782,0.0,188.91099381446838,1012921
182,0.0468752384185791,193.02851009368896,0.0,193.07538533210754,1029665
183,0.062474966049194336,198.05200576782227,0.0,198.11448073387146,1046592
184,0.04688096046447754,202.3353841304779,0.0,202.38226509094238,1063704
185,0.06247997283935547,210.09675908088684,0.0,210.1592390537262,1081001
186,0.062473297119140625,213.59357714653015,0.0,213.6560504436493,1098485
187,0.06250691413879395,221.08951210975647,0.0,221.15201902389526,1116156
188,0.06247830390930176,223.92596006393433,0.0,223.98843836784363,1134016
189,0.06248617172241211,233.1670835018158,0.0,233.2295696735382,1152065
190,0.06250929832458496,238.0202944278717,0.0,238.0828037261963,1170305
191,0.062474966049194336,243.1294674873352,0.0,243.1919424533844,1188736
192,0.07809853553771973,249.7797873020172,0.0,249.85788583755493,1207360
193,0.06250238418579102,258.1956236362457,0.0,258.2581260204315,1226177
194,0.07812976837158203,264.17189502716064,0.0,264.2500247955322,1245189
195,0.07813405990600586,270.9492998123169,0.0,271.0274338722229,1264396
196,0.06253623962402344,275.26085662841797,0.0,275.323392868042,1283800
197,0.07813596725463867,284.1209099292755,0.0,284.19904589653015,1303401
198,0.06250715255737305,288.6624836921692,0.0,288.72499084472656,1323201
199,0.07813405990600586,296.17874026298523,0.0,296.25687432289124,1343200
200,0.0625300407409668,301.6860637664795,0.0,301.74859380722046,1363400
